tiempo,amplitud
36.036,0.295
361.361,0.3
362.362,0.3
363.363,0.28
364.364,0.21
365.365,0.14
366.366,0.07
367.367,0.015
368.368,-0.015
369.369,-0.025
37.037,-0.05
371.371,-0.055
372.372,-0.05
373.373,-0.035
374.374,-0.04
375.375,-0.045
376.376,-0.035
377.377,-0.035
378.378,-0.025
379.379,-0.035
38.038,-0.045
381.381,-0.025
382.382,-0.035
383.383,-0.05
384.384,-0.055
385.385,-0.05
386.386,-0.06
387.387,-0.055
388.388,-0.005
389.389,0.045
39.039,0.05
391.391,0.055
392.392,0.105
393.393,0.085
394.394,0.06
395.395,0.005
396.396,-0.02
397.397,-0.1
398.398,-0.115
399.399,-0.115
4.004,-0.115
401.401,-0.12
402.402,-0.12
403.403,-0.12
404.404,-0.125
405.405,-0.07
406.406,0.075
407.407,0.335
408.408,-0.015
409.409,-0.405
41.041,-0.275
411.411,-0.17
412.412,-0.1
413.413,-0.105
414.414,-0.105
415.415,-0.09
416.416,-0.11
417.417,-0.11
418.418,-0.08
419.419,-0.08
42.042,-0.075
421.421,-0.075
422.422,-0.045
423.423,-0.025
424.424,-0.01
425.425,0
426.426,0.025
427.427,0.065
428.428,0.08
429.429,0.105
43.043,0.165
431.431,0.2
432.432,0.235
433.433,0.265
434.434,0.275
435.435,0.31
436.436,0.315
437.437,0.27
438.438,0.22
439.439,0.125
44.044,0.08
441.441,0.005
442.442,-0.025
443.443,-0.025
444.444,-0.05
445.445,-0.04
446.446,-0.05
447.447,-0.05
448.448,-0.045
449.449,-0.04
45.045,-0.02
451.451,-0.035
452.452,-0.05
453.453,-0.04
454.454,-0.04
455.455,-0.045
456.456,-0.055
457.457,-0.055
458.458,-0.06
459.459,-0.07
46.046,-0.065
461.461,-0.065
462.462,0
463.463,0.04
464.464,0.04
465.465,0.05
466.466,0.115
467.467,0.075
468.468,0.055
469.469,-0.02
47.047,-0.015
471.471,-0.1
472.472,-0.115
473.473,-0.125
474.474,-0.105
475.475,-0.12
476.476,-0.115
477.477,-0.13
478.478,-0.105
479.479,-0.07
48.048,0.165
481.481,0.505
482.482,-0.165
483.483,-0.38
484.484,-0.245
485.485,-0.15
486.486,-0.11
487.487,-0.105
488.488,-0.105
489.489,-0.115
49.049,-0.075
491.491,-0.1
492.492,-0.09
493.493,-0.095
494.494,-0.055
495.495,-0.04
496.496,-0.05
497.497,-0.05
498.498,-0.01
499.499,0.015
500.501,0.055
501.502,0.045
502.503,0.105
503.504,0.135
504.505,0.165
505.506,0.2
506.507,0.255
507.508,0.295
508.509,0.295
50.951,0.31
510.511,0.31
511.512,0.26
512.513,0.22
513.514,0.135
